client_id,contact_number,current_product,monthly_fee,avg_balance,monthly_transactions,digital_logins,support_tickets,account_age_months,international_transfers
CLT-01269,+33 687 932674,Premium Account,20.49,96484.68,49,13,3,18,0
CLT-01270,+33 649 907884,Savings Plus,3.26,13866.28,44,50,1,10,0
CLT-01271,+33 656 115041,Premium Account,16.16,31996.74,88,14,1,28,0
CLT-01272,+33 625 566738,Checking,2.29,14913.14,21,51,0,19,2
CLT-01273,+33 635 305369,Checking,0.66,13387.79,23,49,0,46,2
CLT-01274,+33 634 204293,Savings Plus,4.03,5561.77,24,40,0,2,0
CLT-01275,+33 622 670076,Checking,1.76,2618.85,20,51,2,32,0
CLT-01276,+33 653 398540,Private Banking,45.29,353342.74,44,13,2,3,8
CLT-01277,+33 680 381840,Premium Account,18.4,27020.08,52,43,3,5,1
CLT-01278,+33 674 558826,Premium Account,16.09,26635.89,39,53,1,23,2
CLT-01279,+33 664 730022,Checking,2.78,94211.4,141,58,0,20,1
CLT-01280,+33 638 570513,Checking,1.93,12427.36,44,43,1,33,0
CLT-01281,+33 657 789645,Checking,4.33,857.63,12,5,1,35,6
CLT-01282,+33 687 192705,Savings Plus,8.05,25645.96,26,32,1,5,0
CLT-01283,+33 625 457397,Premium Account,21.15,47836.92,33,56,1,12,0
CLT-01284,+33 663 665465,Premium Account,17.93,115066.03,87,16,0,54,2
CLT-01285,+33 658 247293,Checking,2.4,10888.19,18,47,1,24,0
CLT-01286,+33 622 438848,Checking,2.68,13238.78,27,22,0,19,1
CLT-01287,+33 684 824587,Private Banking,47.72,175309.9,48,51,0,16,2
CLT-01288,+33 685 457343,Premium Account,18.54,61441.01,31,14,0,2,3
CLT-01289,+33 662 191508,Savings Plus,5.11,33785.07,52,31,0,2,1
CLT-01290,+33 664 892000,Premium Account,16.71,64826.76,86,49,1,6,0
CLT-01291,+33 647 798412,Private Banking,46.23,449646.28,50,16,1,43,4
CLT-01292,+33 610 254637,Checking,1.72,14916.04,12,39,1,62,1
CLT-01293,+33 698 752717,Checking,0.0,3905.05,45,5,0,14,1
CLT-01294,+33 612 479947,Checking,3.48,11809.97,20,47,3,11,1
CLT-01295,+33 638 418021,Checking,0.49,11387.05,40,47,1,2,0
CLT-01296,+33 667 704565,Savings Plus,7.14,21859.07,20,48,0,4,4
CLT-01297,+33 667 831228,Premium Account,20.14,40685.04,67,47,1,26,4
CLT-01298,+33 661 260622,Savings Plus,7.46,46014.01,15,21,0,43,0
CLT-01299,+33 636 639567,Checking,4.98,75539.1,140,19,1,83,0
CLT-01300,+33 681 590078,Private Banking,43.13,301573.87,25,27,2,59,0
CLT-01301,+33 684 575216,Checking,2.24,2863.42,36,29,2,19,2
CLT-01302,+33 694 461522,Premium Account,17.59,72808.46,81,48,1,24,1
CLT-01303,+33 621 339338,Checking,0.02,89012.01,130,18,0,6,1
CLT-01304,+33 643 688140,Checking,2.82,967.89,33,36,2,52,0
CLT-01305,+33 695 861749,Savings Plus,7.57,41453.98,47,29,0,69,0
CLT-01306,+33 620 927156,Checking,2.5,7569.37,42,30,0,13,1
CLT-01307,+33 644 412588,Premium Account,20.04,44271.36,82,43,0,47,1
CLT-01308,+33 652 558382,Premium Account,20.92,40573.91,41,46,3,11,0
CLT-01309,+33 655 353482,Checking,0.0,8496.09,47,13,1,5,0
CLT-01310,+33 614 524174,Premium Account,18.63,38032.44,61,21,1,6,1
CLT-01311,+33 694 551280,Premium Account,16.58,52277.69,60,28,1,73,3
CLT-01312,+33 696 665704,Checking,0.64,57338.99,108,32,1,11,0
CLT-01313,+33 693 899759,Checking,0.38,4212.36,20,56,2,19,0
CLT-01314,+33 673 922408,Savings Plus,7.75,49551.12,40,39,0,14,2
CLT-01315,+33 632 320230,Savings Plus,4.12,17536.6,40,38,0,81,0
CLT-01316,+33 611 676259,Checking,3.39,62918.47,105,52,0,28,1
CLT-01317,+33 679 381676,Premium Account,18.75,62235.22,67,55,2,47,2
CLT-01318,+33 627 863217,Checking,0.2,9649.64,46,42,3,1,1
CLT-01319,+33 627 564342,Checking,0.0,8577.88,29,44,3,35,4
CLT-01320,+33 683 353562,Savings Plus,4.92,31271.97,43,45,1,43,2
CLT-01321,+33 639 749579,Savings Plus,8.51,34994.59,15,31,1,22,2
CLT-01322,+33 669 392287,Checking,0.0,6521.81,45,15,3,5,0
CLT-01323,+33 648 201699,Checking,0.0,4381.8,28,57,2,2,4
CLT-01324,+33 629 161044,Checking,1.11,10673.05,17,43,0,102,0
CLT-01325,+33 647 471296,Private Banking,44.27,342786.59,38,41,0,3,0
CLT-01326,+33 620 516954,Private Banking,43.84,113977.71,28,45,0,21,1
CLT-01327,+33 636 162325,Checking,1.59,14039.91,21,43,2,92,0
CLT-01328,+33 647 443920,Savings Plus,7.69,37350.03,53,50,0,3,2
CLT-01329,+33 631 690592,Checking,1.59,3849.76,36,19,0,13,5
CLT-01330,+33 681 975815,Savings Plus,3.18,18278.52,20,10,3,68,4
CLT-01331,+33 621 678192,Savings Plus,4.71,47074.32,20,47,3,28,11
CLT-01332,+33 665 622862,Checking,0.0,13299.77,16,51,2,71,0
CLT-01333,+33 617 604995,Savings Plus,7.02,46016.6,22,56,0,33,0
CLT-01334,+33 681 485153,Checking,1.95,6378.56,42,44,3,1,0
CLT-01335,+33 650 313542,Checking,0.0,2455.2,32,6,1,1,0
CLT-01336,+33 666 625775,Checking,3.15,11621.73,14,32,3,11,3
CLT-01337,+33 663 273631,Premium Account,17.04,46945.98,67,5,1,6,3
CLT-01338,+33 625 689628,Premium Account,22.53,75855.28,66,10,1,30,1
CLT-01339,+33 623 170529,Private Banking,48.02,479462.34,37,6,1,5,0
CLT-01340,+33 640 273039,Savings Plus,6.71,43052.07,31,20,1,18,1
CLT-01341,+33 615 525261,Premium Account,16.94,36005.94,73,33,0,2,0
CLT-01342,+33 630 996879,Checking,1.51,14044.4,21,36,0,56,1
CLT-01343,+33 646 766744,Checking,0.0,6695.88,41,44,1,26,0
CLT-01344,+33 685 806895,Checking,0.0,9644.12,11,36,0,25,0
CLT-01345,+33 660 484686,Checking,2.77,13295.13,20,14,0,7,0
CLT-01346,+33 628 261942,Checking,3.6,5756.39,25,40,2,1,4
CLT-01347,+33 637 483918,Checking,0.26,13826.02,43,54,0,20,0
CLT-01348,+33 649 343179,Premium Account,20.13,31909.74,65,37,0,30,0
CLT-01349,+33 680 342198,Premium Account,22.22,115428.94,34,43,2,19,0
CLT-01350,+33 628 940808,Savings Plus,4.07,18041.95,65,32,1,7,4
CLT-01351,+33 684 497226,Savings Plus,9.64,13068.43,26,39,0,1,0
CLT-01352,+33 623 992968,Savings Plus,8.2,30786.18,41,20,0,19,2
CLT-01353,+33 638 342995,Checking,3.8,6965.37,34,31,1,17,1
CLT-01354,+33 682 581122,Checking,0.0,6138.53,15,55,2,33,1
CLT-01355,+33 636 257469,Private Banking,48.54,159867.18,56,31,2,11,1
CLT-01356,+33 617 845990,Checking,0.77,55864.98,65,51,2,1,5
CLT-01357,+33 613 332283,Savings Plus,3.55,41248.83,26,38,2,23,4
CLT-01358,+33 670 481582,Private Banking,46.32,6649.11,7,26,0,98,2
CLT-01359,+33 626 125962,Premium Account,18.7,103971.33,60,48,1,19,3
CLT-01360,+33 683 507698,Savings Plus,5.8,24146.56,56,38,3,13,0
CLT-01361,+33 697 242059,Checking,0.0,7011.87,25,29,3,21,0
CLT-01362,+33 689 414709,Checking,0.0,55714.23,102,5,0,4,0
CLT-01363,+33 641 680690,Checking,0.0,14003.61,34,58,3,29,0
CLT-01364,+33 670 980125,Premium Account,20.28,97869.96,65,9,0,15,0
CLT-01365,+33 623 858182,Savings Plus,6.96,15955.01,16,35,0,19,7
CLT-01366,+33 675 844640,Savings Plus,8.47,20750.27,15,8,0,39,0
CLT-01367,+33 665 751697,Savings Plus,6.44,5740.33,62,44,2,27,0
CLT-01368,+33 615 217760,Checking,0.5,7548.63,39,52,0,14,2
CLT-01369,+33 683 698293,Savings Plus,3.4,22555.96,44,47,0,8,0
CLT-01370,+33 647 872253,Checking,3.22,10909.74,24,23,0,9,0
CLT-01371,+33 681 631042,Checking,3.85,34516.92,69,57,1,32,0
CLT-01372,+33 698 278648,Checking,4.54,6086.89,47,39,3,26,1
CLT-01373,+33 666 633846,Premium Account,16.81,54522.6,58,11,3,2,0
CLT-01374,+33 685 463450,Premium Account,21.25,20701.44,36,6,1,13,2
CLT-01375,+33 695 356181,Checking,2.61,11762.53,25,49,3,39,1
CLT-01376,+33 621 237891,Premium Account,21.79,22281.16,38,20,0,21,0
CLT-01377,+33 665 227898,Savings Plus,8.95,49658.62,23,12,1,13,1
CLT-01378,+33 610 247599,Savings Plus,9.5,48152.26,40,15,0,19,0
CLT-01379,+33 663 756538,Checking,4.85,82721.79,85,24,0,10,0
CLT-01380,+33 623 100178,Premium Account,21.8,20995.63,51,34,2,4,0
CLT-01381,+33 633 822297,Savings Plus,8.09,29140.86,64,32,0,3,0
CLT-01382,+33 668 599046,Checking,1.62,8916.16,34,41,0,9,2
CLT-01383,+33 668 780961,Savings Plus,8.14,29652.56,24,35,1,13,1
CLT-01384,+33 644 203144,Premium Account,17.65,31039.12,68,12,0,61,0
CLT-01385,+33 637 598496,Checking,4.16,14467.97,19,46,0,1,1
CLT-01386,+33 625 142034,Checking,2.88,732.81,28,54,0,2,0
CLT-01387,+33 642 226108,Checking,1.03,7903.39,35,47,0,8,1
CLT-01388,+33 682 979206,Premium Account,19.71,81990.07,86,22,0,7,0
CLT-01389,+33 660 277042,Private Banking,49.33,489240.79,59,36,3,3,5
CLT-01390,+33 683 562631,Checking,0.0,47975.25,99,41,2,27,6
CLT-01391,+33 668 641196,Premium Account,17.22,40576.42,86,22,0,14,2
CLT-01392,+33 695 399201,Checking,0.25,3037.78,21,46,1,7,0
CLT-01393,+33 613 474389,Premium Account,22.36,85954.72,63,8,0,3,0
CLT-01394,+33 697 201753,Savings Plus,5.66,19347.43,41,52,0,3,0
CLT-01395,+33 672 666501,Checking,3.94,34133.97,74,48,2,31,1
CLT-01396,+33 626 600718,Premium Account,21.63,93234.3,72,16,0,17,0
CLT-01397,+33 617 853844,Checking,0.65,51014.44,147,27,0,11,6
CLT-01398,+33 642 942226,Savings Plus,7.74,28009.54,16,54,2,12,5
CLT-01399,+33 628 397908,Premium Account,16.17,65083.48,39,28,1,7,1
CLT-01400,+33 683 195332,Savings Plus,8.41,40701.1,62,8,1,22,1
CLT-01401,+33 691 207500,Savings Plus,5.53,15137.83,40,9,1,18,0
CLT-01402,+33 621 763358,Savings Plus,4.65,13893.43,59,20,1,17,1
CLT-01403,+33 630 208857,Savings Plus,8.53,29148.78,36,33,3,16,1
CLT-01404,+33 683 492152,Private Banking,49.73,171198.74,78,24,1,19,1
CLT-01405,+33 670 286582,Checking,3.45,5235.68,14,26,0,175,1
CLT-01406,+33 622 472176,Checking,0.0,2334.88,45,39,0,30,0
CLT-01407,+33 642 352174,Savings Plus,6.37,40824.33,47,32,0,27,1
CLT-01408,+33 685 320993,Premium Account,17.03,40868.91,72,40,2,4,0
CLT-01409,+33 674 248006,Savings Plus,8.29,25420.16,50,24,3,5,2
CLT-01410,+33 619 570369,Checking,0.0,13152.23,23,59,3,20,2
CLT-01411,+33 626 511775,Savings Plus,5.98,24456.81,29,43,0,29,0
CLT-01412,+33 645 803780,Savings Plus,3.94,10735.72,51,19,0,7,0
CLT-01413,+33 682 630772,Premium Account,18.38,40097.74,80,27,0,33,1
CLT-01414,+33 663 762331,Premium Account,16.71,42371.05,42,10,0,10,1
CLT-01415,+33 663 240322,Checking,1.2,13688.65,32,54,2,9,7
CLT-01416,+33 667 823308,Checking,0.0,2890.35,20,59,3,7,1
CLT-01417,+33 636 877593,Checking,4.49,1380.44,48,34,0,15,0
CLT-01418,+33 641 479965,Checking,3.17,5958.45,36,12,0,23,0
CLT-01419,+33 644 845388,Checking,3.8,10369.82,31,59,0,23,0
CLT-01420,+33 694 969255,Savings Plus,6.66,34670.34,50,30,0,28,1
CLT-01421,+33 679 839755,Checking,3.57,9817.63,14,22,1,73,2
CLT-01422,+33 619 279613,Savings Plus,4.56,7376.27,38,41,1,41,0
CLT-01423,+33 611 983333,Checking,2.87,7556.75,34,12,3,7,2
CLT-01424,+33 695 142197,Premium Account,22.95,75255.1,76,38,3,7,0
CLT-01425,+33 673 511953,Savings Plus,3.7,43448.35,66,16,2,1,0
CLT-01426,+33 649 233637,Premium Account,18.84,33066.89,73,17,0,16,2
CLT-01427,+33 680 175939,Checking,0.0,12058.04,20,23,0,15,6
CLT-01428,+33 696 938735,Savings Plus,6.89,10449.81,48,27,3,8,2
CLT-01429,+33 679 618088,Private Banking,49.48,384463.47,72,15,0,21,3
CLT-01430,+33 641 749990,Savings Plus,3.2,12974.3,23,22,3,6,1
CLT-01431,+33 624 597249,Savings Plus,3.77,5179.26,52,15,0,3,0
CLT-01432,+33 661 185753,Checking,0.14,1387.62,44,33,2,10,0
CLT-01433,+33 620 418982,Savings Plus,7.2,12153.61,26,26,3,55,0
CLT-01434,+33 612 313664,Savings Plus,6.67,32597.94,19,42,1,18,3
CLT-01435,+33 676 665452,Checking,1.04,9428.28,26,50,2,65,2
CLT-01436,+33 655 666879,Savings Plus,7.19,33538.98,44,44,2,82,1
CLT-01437,+33 659 599391,Savings Plus,6.66,30949.51,49,10,3,24,1
CLT-01438,+33 628 567611,Private Banking,46.19,177057.59,45,20,0,54,3
CLT-01439,+33 637 918111,Premium Account,22.66,53645.68,47,38,0,14,2
CLT-01440,+33 630 459916,Savings Plus,7.16,42925.74,23,59,1,1,3
CLT-01441,+33 674 935589,Premium Account,20.4,43612.85,34,52,1,19,1
CLT-01442,+33 637 645339,Checking,0.0,1201.0,25,22,2,6,5
CLT-01443,+33 678 433283,Savings Plus,7.26,6619.36,31,9,3,25,1
CLT-01444,+33 687 336268,Premium Account,21.87,116682.6,57,49,0,10,0
CLT-01445,+33 698 426033,Premium Account,20.61,87770.76,47,5,0,19,0
CLT-01446,+33 674 434745,Savings Plus,8.65,38209.85,58,32,0,4,3
CLT-01447,+33 655 958298,Premium Account,21.33,94596.59,32,53,0,7,0
CLT-01448,+33 622 921724,Savings Plus,6.99,21276.93,25,22,0,44,0
CLT-01449,+33 655 419769,Premium Account,16.87,64024.25,35,50,1,7,0
CLT-01450,+33 619 349088,Savings Plus,6.67,45250.4,64,14,3,47,1
CLT-01451,+33 634 110227,Premium Account,19.53,67850.36,47,59,1,31,1
CLT-01452,+33 629 253635,Checking,1.35,13442.5,45,46,1,11,0
CLT-01453,+33 644 953769,Savings Plus,6.56,36046.43,50,56,0,16,0
CLT-01454,+33 642 192195,Savings Plus,9.11,35356.46,15,59,1,7,2
CLT-01455,+33 665 703604,Checking,1.01,11454.33,30,41,3,35,2
CLT-01456,+33 614 624097,Checking,1.87,9024.34,43,31,1,14,3
CLT-01457,+33 677 606534,Checking,0.4,13448.08,40,16,1,4,5
CLT-01458,+33 626 809356,Premium Account,22.34,114779.5,53,54,1,67,1
CLT-01459,+33 684 635202,Checking,4.51,11402.25,16,53,0,8,2
CLT-01460,+33 683 837932,Private Banking,48.61,378641.82,33,21,0,41,0
CLT-01461,+33 612 960524,Premium Account,22.36,114369.28,88,19,1,79,0
CLT-01462,+33 667 299340,Private Banking,48.87,123507.2,79,44,0,17,2
CLT-01463,+33 610 416992,Savings Plus,4.74,17368.03,40,36,1,9,1
CLT-01464,+33 692 963739,Checking,4.85,88287.73,138,39,0,13,1
CLT-01465,+33 689 534150,Private Banking,45.04,266306.15,42,50,0,24,0
CLT-01466,+33 691 756822,Premium Account,19.65,75777.25,49,45,0,20,2
CLT-01467,+33 677 806420,Checking,4.38,8955.05,37,51,0,33,3
CLT-01468,+33 610 993642,Premium Account,17.93,106286.97,77,56,2,2,0
CLT-01469,+33 648 992481,Premium Account,16.4,103167.2,50,25,1,12,0
CLT-01470,+33 635 638542,Checking,1.06,11429.9,25,57,1,46,6
CLT-01471,+33 677 184752,Premium Account,19.23,69640.71,61,19,0,5,1
CLT-01472,+33 686 736232,Savings Plus,5.63,9857.7,33,23,2,3,1
CLT-01473,+33 610 599319,Checking,2.59,8825.98,47,25,0,22,0
CLT-01474,+33 663 992312,Private Banking,49.34,136979.08,34,52,0,69,0
CLT-01475,+33 638 507886,Savings Plus,6.47,48600.56,39,27,0,2,2
CLT-01476,+33 633 460063,Checking,0.0,4461.71,29,35,0,23,0
CLT-01477,+33 667 310100,Savings Plus,9.7,18060.43,62,36,2,11,2
CLT-01478,+33 612 259185,Savings Plus,6.54,16300.43,58,40,0,53,2
CLT-01479,+33 680 498443,Savings Plus,4.91,34174.4,59,55,1,9,0
CLT-01480,+33 623 548433,Premium Account,22.63,105162.28,73,39,1,33,0
CLT-01481,+33 685 305084,Savings Plus,8.44,38962.29,44,19,2,30,2
CLT-01482,+33 650 172824,Checking,1.23,8454.24,42,31,2,34,0
CLT-01483,+33 684 925347,Private Banking,48.17,230751.06,46,8,2,35,1
CLT-01484,+33 623 942686,Premium Account,18.2,97752.56,37,37,1,26,4
CLT-01485,+33 657 311306,Checking,0.0,14501.78,11,33,2,3,0
CLT-01486,+33 697 112213,Checking,3.14,13226.25,36,28,1,40,1
CLT-01487,+33 638 272756,Savings Plus,8.42,5646.16,32,55,0,16,1
CLT-01488,+33 642 671528,Checking,2.1,6963.37,47,5,0,3,0
CLT-01489,+33 615 357123,Checking,0.87,9344.32,33,29,0,30,0
CLT-01490,+33 681 512036,Premium Account,16.02,110800.78,86,27,2,35,1
CLT-01491,+33 684 312546,Checking,3.83,78463.18,115,39,2,41,2
CLT-01492,+33 698 672893,Private Banking,44.22,386773.86,61,28,3,6,4
CLT-01493,+33 650 512423,Premium Account,16.7,35671.92,61,25,0,32,1
CLT-01494,+33 625 428358,Savings Plus,3.96,24159.17,63,10,0,32,1
CLT-01495,+33 659 297646,Savings Plus,4.87,46899.8,40,28,3,18,0
CLT-01496,+33 635 654348,Checking,0.0,7499.08,48,44,3,40,2
CLT-01497,+33 665 211228,Premium Account,20.45,53634.46,54,14,0,74,0
CLT-01498,+33 648 210937,Checking,0.0,1621.84,11,28,1,4,0
CLT-01499,+33 683 923622,Savings Plus,5.39,24464.2,36,5,0,111,5
CLT-01500,+33 617 939572,Premium Account,16.66,95088.55,62,47,1,42,0
CLT-01501,+33 622 491443,Savings Plus,7.0,11758.59,68,47,0,59,3
CLT-01502,+33 666 210246,Private Banking,49.48,355572.96,40,14,1,19,1
CLT-01503,+33 648 562268,Private Banking,47.95,321548.24,45,7,0,24,0
CLT-01504,+33 671 500740,Savings Plus,5.95,7331.33,52,54,1,9,0
CLT-01505,+33 675 843666,Checking,0.0,10855.16,15,45,3,9,4
CLT-01506,+33 622 101185,Checking,0.44,5991.09,37,10,3,2,1
CLT-01507,+33 678 758474,Premium Account,22.46,61343.88,38,27,1,35,0
CLT-01508,+33 694 405004,Savings Plus,7.9,10619.61,36,42,1,21,0
CLT-01509,+33 681 328378,Premium Account,20.95,89826.23,49,40,0,4,0
CLT-01510,+33 610 757485,Savings Plus,7.35,36670.01,52,48,0,6,0
CLT-01511,+33 691 385963,Premium Account,20.01,46362.11,42,41,0,27,2
CLT-01512,+33 665 370868,Checking,0.0,10128.52,15,56,0,1,0
CLT-01513,+33 639 860896,Checking,3.87,12058.72,28,30,0,69,3
CLT-01514,+33 645 834225,Premium Account,17.18,70085.08,68,22,2,11,0
CLT-01515,+33 618 271849,Premium Account,22.99,47852.58,66,31,0,23,0
CLT-01516,+33 668 795686,Private Banking,47.7,457216.32,57,8,1,48,2
CLT-01517,+33 665 361791,Private Banking,47.25,353314.74,53,7,1,7,4
CLT-01518,+33 657 664981,Checking,4.75,3304.89,42,56,1,6,0
CLT-01519,+33 688 210845,Checking,4.39,70801.54,85,24,1,26,6
CLT-01520,+33 674 552264,Private Banking,46.88,452007.94,23,7,0,1,0
CLT-01521,+33 617 767071,Checking,2.72,12284.82,34,51,0,6,1
CLT-01522,+33 617 574913,Savings Plus,8.11,49916.71,58,41,0,21,1
CLT-01523,+33 622 872236,Checking,2.54,7530.53,18,10,0,6,3
CLT-01524,+33 639 757871,Checking,0.15,10021.02,41,20,0,25,4
CLT-01525,+33 667 665498,Private Banking,47.58,466185.73,28,20,0,5,1
CLT-01526,+33 676 864150,Premium Account,22.22,75927.49,85,17,0,57,1
CLT-01527,+33 657 430440,Checking,3.72,5464.08,21,24,0,94,1
CLT-01528,+33 689 987557,Checking,3.24,8077.85,49,15,1,23,2
CLT-01529,+33 677 921573,Savings Plus,8.7,7058.15,61,40,0,10,1
CLT-01530,+33 648 749159,Checking,2.56,9815.39,38,12,0,34,2
CLT-01531,+33 692 861231,Premium Account,19.05,79830.08,32,9,1,4,2
CLT-01532,+33 626 561244,Checking,3.53,9867.29,28,5,1,3,0
CLT-01533,+33 652 385593,Checking,1.77,7169.5,17,57,1,3,2
CLT-01534,+33 660 941652,Premium Account,21.51,83646.21,81,44,1,70,1
CLT-01535,+33 645 790020,Savings Plus,3.59,44252.65,65,16,2,40,3
CLT-01536,+33 619 690962,Checking,4.8,7195.94,31,37,0,15,0
CLT-01537,+33 611 884498,Checking,0.0,8189.79,37,55,1,4,0
CLT-01538,+33 659 890160,Checking,0.34,11252.32,11,17,0,30,0
CLT-01539,+33 674 419749,Premium Account,19.44,31202.58,86,16,2,9,6
CLT-01540,+33 660 808201,Premium Account,18.44,94628.34,57,38,0,16,2
CLT-01541,+33 655 887809,Private Banking,49.7,243275.03,47,15,3,12,1
CLT-01542,+33 660 129592,Premium Account,22.21,100234.02,42,28,3,17,1
CLT-01543,+33 643 759654,Checking,1.45,12151.72,13,22,0,7,0
CLT-01544,+33 642 323481,Savings Plus,8.36,42410.84,19,55,3,11,3
CLT-01545,+33 610 129826,Savings Plus,9.05,10047.38,37,32,3,11,3
CLT-01546,+33 680 534911,Premium Account,20.55,104385.74,51,11,0,38,0
CLT-01547,+33 683 860721,Premium Account,21.13,26926.52,64,5,1,31,0
CLT-01548,+33 646 506267,Private Banking,43.68,448402.64,20,46,0,14,3
CLT-01549,+33 693 427825,Checking,1.36,6010.63,46,51,2,7,1
CLT-01550,+33 648 905122,Premium Account,17.63,76515.43,81,26,0,27,1
CLT-01551,+33 662 675139,Checking,2.31,59030.59,90,14,0,3,6
CLT-01552,+33 681 348561,Checking,2.8,9164.82,39,51,1,31,1
CLT-01553,+33 664 998285,Checking,0.16,3948.4,37,13,0,9,0
CLT-01554,+33 646 882141,Checking,4.55,4825.39,32,36,0,27,3
CLT-01555,+33 647 622183,Savings Plus,8.35,39473.97,15,10,0,22,4
CLT-01556,+33 650 421821,Savings Plus,9.97,43311.58,40,14,0,34,2
CLT-01557,+33 685 982879,Checking,3.82,32819.09,114,9,0,7,1
CLT-01558,+33 670 332974,Savings Plus,7.5,9636.07,38,27,0,17,0
CLT-01559,+33 664 864493,Checking,1.27,4103.31,42,47,1,37,0
CLT-01560,+33 667 473329,Checking,1.2,7314.17,42,21,0,62,0
CLT-01561,+33 627 146412,Private Banking,48.46,5700.27,5,36,0,13,4
CLT-01562,+33 640 831235,Checking,1.41,6901.45,10,28,0,15,2
CLT-01563,+33 677 529301,Checking,0.25,5849.32,16,20,3,2,0
CLT-01564,+33 623 417084,Checking,3.41,8283.26,39,48,0,41,2
CLT-01565,+33 695 766513,Savings Plus,5.53,8997.68,56,54,1,32,0
CLT-01566,+33 673 875162,Premium Account,21.78,84201.19,80,23,3,11,0
CLT-01567,+33 652 238405,Checking,4.12,5529.03,40,11,1,9,1
CLT-01568,+33 687 254415,Checking,1.45,51144.79,132,22,0,15,0
CLT-01569,+33 694 965140,Checking,1.05,12312.95,41,25,3,42,0
CLT-01570,+33 687 833953,Checking,2.69,13568.99,40,43,0,66,2
CLT-01571,+33 632 880256,Savings Plus,4.5,26323.01,24,5,2,18,0
CLT-01572,+33 615 560387,Savings Plus,3.7,23342.69,60,37,0,4,1
CLT-01573,+33 689 570718,Premium Account,19.62,104827.43,80,52,1,25,2
CLT-01574,+33 671 590297,Premium Account,22.83,31378.19,44,14,1,23,10
CLT-01575,+33 654 935379,Premium Account,22.22,65352.5,26,39,0,42,1
CLT-01576,+33 658 591933,Savings Plus,5.57,33174.95,19,22,0,9,0
CLT-01577,+33 677 222391,Checking,0.24,3160.25,31,16,1,54,0
CLT-01578,+33 628 669467,Private Banking,44.54,342958.22,69,26,1,2,2
CLT-01579,+33 676 849029,Premium Account,21.95,43797.16,55,25,0,1,1
CLT-01580,+33 621 611936,Checking,0.0,6902.4,26,12,0,29,1
CLT-01581,+33 681 725720,Premium Account,21.5,37518.31,52,48,0,34,2
CLT-01582,+33 665 604464,Savings Plus,5.89,16239.69,56,56,1,2,0
CLT-01583,+33 614 606854,Checking,4.63,14441.16,22,58,0,45,0
CLT-01584,+33 627 232384,Savings Plus,7.4,19368.45,34,11,3,66,4
CLT-01585,+33 632 398189,Savings Plus,3.76,13734.76,50,27,1,23,1
CLT-01586,+33 619 606163,Premium Account,16.3,109329.73,42,17,0,23,3
CLT-01587,+33 650 729541,Savings Plus,8.74,25868.8,17,14,0,6,0
CLT-01588,+33 620 184644,Checking,4.56,9101.3,40,13,1,11,0
CLT-01589,+33 662 454300,Savings Plus,7.52,14791.97,51,22,3,25,2
CLT-01590,+33 689 492199,Checking,1.16,10289.85,20,47,1,19,0
CLT-01591,+33 610 721171,Savings Plus,5.21,27550.69,44,45,0,6,5
CLT-01592,+33 631 921255,Premium Account,16.27,46014.47,57,42,0,24,0
CLT-01593,+33 665 153321,Savings Plus,9.24,9063.25,67,49,3,6,1
CLT-01594,+33 669 244370,Checking,0.0,2727.78,44,8,1,6,0
CLT-01595,+33 673 524120,Checking,0.0,14147.57,29,6,0,14,0
CLT-01596,+33 626 710805,Checking,0.0,52296.51,127,39,3,7,1
CLT-01597,+33 688 362940,Premium Account,22.63,100854.94,33,16,2,3,5
CLT-01598,+33 657 752551,Checking,0.0,6376.26,38,33,0,10,0
CLT-01599,+33 690 630471,Checking,0.0,98610.54,71,18,2,7,3
CLT-01600,+33 680 879814,Savings Plus,7.19,33722.12,30,25,0,27,5
CLT-01601,+33 675 346667,Premium Account,21.08,65494.95,31,22,1,3,0
CLT-01602,+33 648 858566,Checking,0.0,1964.57,33,42,0,31,2
CLT-01603,+33 610 151954,Checking,2.01,3471.26,45,58,0,30,1
CLT-01604,+33 672 352092,Savings Plus,6.23,24089.46,38,13,2,27,2
CLT-01605,+33 661 794693,Checking,2.69,576.79,22,51,0,24,2
CLT-01606,+33 686 367509,Premium Account,19.97,109732.62,77,21,0,9,1
CLT-01607,+33 687 306655,Checking,0.0,5285.43,48,52,0,23,1
CLT-01608,+33 640 293624,Premium Account,17.56,30577.12,62,38,0,38,0
CLT-01609,+33 621 374047,Premium Account,21.76,41510.88,85,57,0,5,1
CLT-01610,+33 660 316787,Savings Plus,9.26,35915.73,45,14,0,27,3
CLT-01611,+33 641 846715,Premium Account,16.98,94804.36,40,50,1,49,0
CLT-01612,+33 681 454247,Premium Account,19.56,74283.52,25,53,0,2,4
CLT-01613,+33 674 192557,Premium Account,17.53,112929.67,77,24,0,42,4
CLT-01614,+33 646 915860,Savings Plus,4.86,47368.3,53,23,1,28,6
CLT-01615,+33 655 701491,Checking,0.0,10072.32,45,57,0,18,2
CLT-01616,+33 630 148750,Savings Plus,8.43,35320.98,45,50,0,42,0
CLT-01617,+33 615 633613,Checking,2.59,3734.24,26,33,3,11,0
CLT-01618,+33 614 190555,Checking,0.0,44992.66,112,50,0,14,1
CLT-01619,+33 620 240589,Premium Account,18.9,25943.02,83,42,0,27,1
CLT-01620,+33 611 996584,Savings Plus,5.92,31704.96,67,14,3,50,2
CLT-01621,+33 680 883509,Checking,4.99,1742.15,34,13,0,15,4
